data,campanha,gasto_brl,impressoes,cliques,conversoes_pixel,valor_conversao_pixel_brl
2026-05-12,Lumina | Conversao | Pre-treino,1240.5,78420,1182,28,4256.4
2026-05-12,Lumina | Conversao | Creatina,980.2,62150,893,21,3318.0
2026-05-12,Lumina | Conversao | Whey,890.8,54310,765,18,2934.6
2026-05-12,Lumina | Retargeting | Carrinho,420.3,18920,542,16,2528.0
2026-05-13,Lumina | Conversao | Pre-treino,1320.1,81250,1245,32,4860.8
2026-05-13,Lumina | Conversao | Creatina,1010.4,64380,921,22,3476.0
2026-05-13,Lumina | Conversao | Whey,920.6,56120,798,20,3260.0
2026-05-13,Lumina | Retargeting | Carrinho,445.2,19840,568,18,2844.0
2026-05-14,Lumina | Conversao | Pre-treino,1190.8,75630,1124,26,3952.0
2026-05-14,Lumina | Conversao | Creatina,945.6,60480,856,19,3002.0
2026-05-14,Lumina | Conversao | Whey,870.4,53180,742,17,2771.0
2026-05-14,Lumina | Retargeting | Carrinho,410.5,18420,528,15,2370.0
2026-05-15,Lumina | Conversao | Pre-treino,1380.4,84320,1298,35,5320.0
2026-05-15,Lumina | Conversao | Creatina,1080.9,67250,968,24,3792.0
2026-05-15,Lumina | Conversao | Whey,980.2,58740,832,22,3586.0
2026-05-15,Lumina | Retargeting | Carrinho,478.6,21340,612,21,3318.0
2026-05-16,Lumina | Conversao | Pre-treino,1450.2,88450,1372,38,5776.0
2026-05-16,Lumina | Conversao | Creatina,1120.5,69820,1004,26,4108.0
2026-05-16,Lumina | Conversao | Whey,1020.8,60930,868,24,3912.0
2026-05-16,Lumina | Retargeting | Carrinho,510.4,22680,642,23,3634.0
2026-05-17,Lumina | Conversao | Pre-treino,1180.6,74820,1108,25,3800.0
2026-05-17,Lumina | Conversao | Creatina,930.4,59140,842,18,2844.0
2026-05-17,Lumina | Conversao | Whey,860.2,52410,728,16,2608.0
2026-05-17,Lumina | Retargeting | Carrinho,398.2,17890,512,14,2212.0
2026-05-18,Lumina | Conversao | Pre-treino,1110.3,71240,1052,24,3648.0
2026-05-18,Lumina | Conversao | Creatina,880.5,56480,798,17,2686.0
2026-05-18,Lumina | Conversao | Whey,820.4,49820,692,15,2445.0
2026-05-18,Lumina | Retargeting | Carrinho,378.9,16850,482,13,2054.0
